Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1
Friends Of Potrero Hill Preschool,Private,-2,-1,PK,Independent / Private,CDC040,3,4,CDC,384002303,"1060 TENNESSEE ST STE A, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,POINT (-122.389587 37.75856)
"Parks, Rosa Parks Japanese Bilingual Bicultural Program / Weill, Raphael Weill  Early Education",SFUSD,0,5,K-5,"USD Grades K-5, PreK-5",PS089,5,10,PS,38684786041503,"1501 OFARRELL ST, San Francisco, CA 94115",5,06075,SAN FRANCISCO,POINT (-122.429504 37.783009)
Angelinas Preschool,Private,-2,-1,PK,Independent / Private,CDC004,3,4,CDC,384001103,"1851 NORIEGA ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,POINT (-122.483765 37.753666)
Wu Yee Child Development Center - Golden Gate,Private,-2,-1,PK,Independent / Private,CDC160,3,4,CDC,380506088,"177 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,POINT (-122.413559 37.78167)
"Brown, Willie Brown Jr Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS008,11,13,PS,38684780132241,"2055 SILVER AVE, San Francisco, CA 94124",10,06075,SAN FRANCISCO,POINT (-122.399574 37.736477)
"Chavez, Cesar Chavez Elementary School / Preschool",SFUSD,-2,5,PK-5,USD PreK-5,PS015,3,10,PS,38684786041149,"825 SHOTWELL ST, San Francisco, CA 94110",9,06075,SAN FRANCISCO,POINT (-122.414879 37.754921)
"Feinstein, Dianne Feinstein Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS031,5,10,PS,38684780111427,"2550 25TH AVE, San Francisco, CA 94116",4,06075,SAN FRANCISCO,POINT (-122.481369 37.739685)
Monroe Elementary / Excelsior Monroe Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS081,5,10,PS,38684786041446,"260 MADRID ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,POINT (-122.430489 37.725399)
Alt School - Soma,Private,6,8,6-8,Independent / Private,IND207,11,13,IND,38684786148282,"1245 FOLSOM ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,POINT (-122.410484 37.774181)
Chinese Immersion School At Deavila,SFUSD,0,4,K-4,USD Grades K-4,PS018,5,9,PS,38684780120386,"1250 WALLER ST, San Francisco, CA 94117",5,06075,SAN FRANCISCO,POINT (-122.444275 37.769829)
Living Hope Christian School,Private,0,12,K-12,Independent / Private,IND268,5,17,IND,,"1209 GENEVA AVE, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,POINT (-122.435829 37.714336)
Happy Times Nursery School,Private,-2,-1,PK,Independent / Private,CDC052,3,4,CDC,380503588,"1090 QUINTARA ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,POINT (-122.476791 37.748856)
Voice Of Pentecost Academy,Private,0,12,K-12,Independent / Private,IND334,5,17,IND,38684786938914,"1970 OCEAN AVE, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,POINT (-122.463974 37.726364)
San Miguel Early Education School,SFUSD,-2,5,PK-5,USD PreK-5,PS102,3,10,PS,38684780117481,"300 SENECA AVE, San Francisco, CA 94112",11,06075,SAN FRANCISCO,POINT (-122.44471 37.721645)
Ucsf - University Child Care Center - Mission Bay,Private,-2,-1,PK,Independent / Private,CDC152,3,4,CDC,384001586,"1555 6TH ST, SAN FRANCISCO, CA 94158",6,06075,SAN FRANCISCO,POINT (-122.393967 37.768677)
Longfellow Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS068,5,10,PS,38684786041362,"755 MORSE ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,POINT (-122.446739 37.710423)
"Webster, Daniel Webster Out-Of-School (OST) Program",SFUSD,0,5,K-5,USD Grades K-5,PS123,5,10,PS,38684786040893,"465 MISSOURI ST, San Francisco, CA 94107",10,06075,SAN FRANCISCO,POINT (-122.395843 37.760521)
Mission High School,SFUSD,9,12,9-12,USD Grades 9-12,PS080,14,17,PS,38684783834082,"3750 18TH ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,POINT (-122.427307 37.76202)
Miraloma Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS078,5,10,PS,38684786041438,"175 OMAR WAY, San Francisco, CA 94127",7,06075,SAN FRANCISCO,POINT (-122.450188 37.738636)
Golden Gate Guppies Preschool,Private,-2,-1,PK,Independent / Private,CDC046,3,4,CDC,384002090,"2426 CALIFORNIA ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,POINT (-122.434509 37.789124)
Lands End School,Private,-2,-1,PK,Independent / Private,CDC071,3,4,CDC,380506270,"4150 CLEMENT ST BLDG T35, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,POINT (-122.504578 37.782593)
San Francisco Pacific Academy,Private,0,8,K-8,Independent / Private,IND317,5,13,IND,38684786146054,"3301 BALBOA ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,POINT (-122.494286 37.775639)
"Wells, Ida B. Wells High School",SFUSD,9,12,9-12,USD Grades 9-12,PS124,14,17,PS,38684783830031,"1099 HAYES ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,POINT (-122.433899 37.775013)
Munchkinland Preschool And Family Daycare,Private,-2,-1,PK,Independent / Private,CDC110,3,4,CDC,,"4710 CABRILLO ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,POINT (-122.509254 37.773445)
